------------------------------------------------
Object: Mars
Mass: 6.417099999999999e+23 kg
Semi-Major Axis: 1.5234502292734486 AU
Semi-Minor Axis: 1.5166244364967498 AU
Eccentricity: 0.09455628573275716 AU
Rotation: -22.594823796250843 degrees
Inclination: 1.8485627504769009 degrees
------------------------------------------------
Position History (x,y,z) AU

X = -1.634  Y = -0.172  Z = 0.037
X = -1.633  Y = -0.178  Z = 0.036
X = -1.632  Y = -0.183  Z = 0.036
X = -1.631  Y = -0.188  Z = 0.036
X = -1.630  Y = -0.194  Z = 0.036
X = -1.629  Y = -0.199  Z = 0.036
X = -1.628  Y = -0.204  Z = 0.036
X = -1.628  Y = -0.209  Z = 0.036
X = -1.627  Y = -0.215  Z = 0.035
X = -1.626  Y = -0.220  Z = 0.035
X = -1.625  Y = -0.225  Z = 0.035
X = -1.624  Y = -0.231  Z = 0.035
X = -1.622  Y = -0.236  Z = 0.035
X = -1.621  Y = -0.241  Z = 0.035
X = -1.620  Y = -0.246  Z = 0.035
X = -1.619  Y = -0.252  Z = 0.035
X = -1.618  Y = -0.257  Z = 0.034
X = -1.617  Y = -0.262  Z = 0.034
X = -1.616  Y = -0.267  Z = 0.034
X = -1.615  Y = -0.273  Z = 0.034
X = -1.613  Y = -0.278  Z = 0.034
X = -1.612  Y = -0.283  Z = 0.034
X = -1.611  Y = -0.288  Z = 0.034
X = -1.610  Y = -0.294  Z = 0.033
X = -1.608  Y = -0.299  Z = 0.033
X = -1.607  Y = -0.304  Z = 0.033
X = -1.606  Y = -0.309  Z = 0.033
X = -1.604  Y = -0.315  Z = 0.033
X = -1.603  Y = -0.320  Z = 0.033
X = -1.602  Y = -0.325  Z = 0.033
X = -1.600  Y = -0.330  Z = 0.032
X = -1.599  Y = -0.335  Z = 0.032
X = -1.598  Y = -0.341  Z = 0.032
X = -1.596  Y = -0.346  Z = 0.032
X = -1.595  Y = -0.351  Z = 0.032
X = -1.593  Y = -0.356  Z = 0.032
X = -1.592  Y = -0.361  Z = 0.032
X = -1.590  Y = -0.367  Z = 0.031
X = -1.589  Y = -0.372  Z = 0.031
X = -1.587  Y = -0.377  Z = 0.031
X = -1.585  Y = -0.382  Z = 0.031
X = -1.584  Y = -0.387  Z = 0.031
X = -1.582  Y = -0.392  Z = 0.031
X = -1.581  Y = -0.398  Z = 0.031
X = -1.579  Y = -0.403  Z = 0.030
X = -1.577  Y = -0.408  Z = 0.030
X = -1.576  Y = -0.413  Z = 0.030
X = -1.574  Y = -0.418  Z = 0.030
X = -1.572  Y = -0.423  Z = 0.030
X = -1.570  Y = -0.428  Z = 0.030
X = -1.569  Y = -0.434  Z = 0.029
X = -1.567  Y = -0.439  Z = 0.029
X = -1.565  Y = -0.444  Z = 0.029
X = -1.563  Y = -0.449  Z = 0.029
X = -1.561  Y = -0.454  Z = 0.029
X = -1.560  Y = -0.459  Z = 0.029
X = -1.558  Y = -0.464  Z = 0.029
X = -1.556  Y = -0.469  Z = 0.028
X = -1.554  Y = -0.474  Z = 0.028
X = -1.552  Y = -0.480  Z = 0.028
X = -1.550  Y = -0.485  Z = 0.028
X = -1.548  Y = -0.490  Z = 0.028
X = -1.546  Y = -0.495  Z = 0.028
X = -1.544  Y = -0.500  Z = 0.027
X = -1.542  Y = -0.505  Z = 0.027
X = -1.540  Y = -0.510  Z = 0.027
X = -1.538  Y = -0.515  Z = 0.027
X = -1.536  Y = -0.520  Z = 0.027
X = -1.534  Y = -0.525  Z = 0.027
X = -1.532  Y = -0.530  Z = 0.027
X = -1.529  Y = -0.535  Z = 0.026
X = -1.527  Y = -0.540  Z = 0.026
X = -1.525  Y = -0.545  Z = 0.026
X = -1.523  Y = -0.550  Z = 0.026
X = -1.521  Y = -0.555  Z = 0.026
X = -1.519  Y = -0.560  Z = 0.026
X = -1.516  Y = -0.565  Z = 0.025
X = -1.514  Y = -0.570  Z = 0.025
X = -1.512  Y = -0.575  Z = 0.025
X = -1.509  Y = -0.580  Z = 0.025
X = -1.507  Y = -0.585  Z = 0.025
X = -1.505  Y = -0.590  Z = 0.025
X = -1.502  Y = -0.595  Z = 0.024
X = -1.500  Y = -0.599  Z = 0.024
X = -1.498  Y = -0.604  Z = 0.024
X = -1.495  Y = -0.609  Z = 0.024
X = -1.493  Y = -0.614  Z = 0.024
